=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.12.10 05:59:55 =~=~=~=~=~=~=~=~=~=~=~=
1hm
ms -> 997ms, 1000ms -> 1000ms, 54.82 LDR mV | 8.29 lx | 995.58 hPa | 18.67 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
ms -> 997ms, 1000ms -> 1000ms, 54.82 LDR mV | 8.29 lx | 995.58 hPa | 18.67 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
SAP::STATUS {
  STATUS::OK == 0
  STATUS::BAD_WIRING_I2C_BME280 == 1
  STATUS::BAD_ILLUMINANCE == 2
};
--> sap.status: 0 <--
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.87 hPa | 21.95 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.81 hPa | 21.99 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.76 hPa | 22.02 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.82 hPa | 22.05 °C | 96.77 RH % | 1.00 CO vout raw | 10310407.00 CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.85 hPa | 22.09 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.85 hPa | 22.11 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.85 hPa | 22.13 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 7.83 LDR mV | 2.36 lx | 995.84 hPa | 22.17 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.83 hPa | 22.20 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.91 hPa | 22.23 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.82 hPa | 22.24 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.81 hPa | 22.26 °C | 96.77 RH % | 1.00 CO vout raw | 10310407.00 CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 1000ms, 7.83 LDR mV | 2.36 lx | 995.85 hPa | 22.29 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 995ms, 997ms -> 996ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.82 hPa | 22.31 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.82 hPa | 22.33 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.86 hPa | 22.34 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.85 hPa | 22.36 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.83 hPa | 22.37 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.79 hPa | 22.39 °C | 96.77 RH % | 1.00 CO vout raw | 10310407.00 CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.87 hPa | 22.40 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.84 hPa | 22.40 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.83 hPa | 22.42 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.81 hPa | 22.43 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.82 hPa | 22.44 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.84 hPa | 22.45 °C | 96.77 RH % | 1.00 CO vout raw | 10310407.00 CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.86 hPa | 22.46 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.79 hPa | 22.47 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.89 hPa | 22.49 °C | 97.85 RH % | 2.00 CO vout raw | 5150164.50 CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.87 hPa | 22.49 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.85 hPa | 22.49 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.82 hPa | 22.50 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.83 hPa | 22.50 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.86 hPa | 22.51 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.91 hPa | 22.51 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.85 hPa | 22.51 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 7.83 LDR mV | 2.36 lx | 995.85 hPa | 22.51 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.93 hPa | 22.52 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.87 hPa | 22.52 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.88 hPa | 22.52 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 994ms, 997ms -> 997ms, 1000ms -> 1000ms, 7.83 LDR mV | 2.36 lx | 995.84 hPa | 22.52 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.90 hPa | 22.51 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.89 hPa | 22.51 °C | 97.85 RH % | 8.00 CO vout raw | 1279982.12 CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.91 hPa | 22.51 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.91 hPa | 22.50 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.83 hPa | 22.49 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.93 hPa | 22.49 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.87 hPa | 22.47 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 7.83 LDR mV | 2.36 lx | 995.90 hPa | 22.47 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.89 hPa | 22.46 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.88 hPa | 22.45 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.83 hPa | 22.44 °C | 97.85 RH % | 1.00 CO vout raw | 10310407.00 CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 3.92 LDR mV | 1.67 lx | 995.90 hPa | 22.43 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 3.92 LDR mV | 1.67 lx | 995.85 hPa | 22.42 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.92 hPa | 22.41 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.95 hPa | 22.40 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.88 hPa | 22.39 °C | 97.85 RH % | 2.00 CO vout raw | 5150164.50 CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.87 hPa | 22.38 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.85 hPa | 22.37 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.91 hPa | 22.36 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.96 hPa | 22.35 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.89 hPa | 22.34 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.94 hPa | 22.32 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.87 hPa | 22.32 °C | 97.85 RH % | 4.00 CO vout raw | 2570043.00 CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 996.00 hPa | 22.29 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 11.75 LDR mV | 2.84 lx | 995.88 hPa | 22.29 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 3.92 LDR mV | 1.67 lx | 995.90 hPa | 22.27 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 7.83 LDR mV | 2.36 lx | 995.92 hPa | 22.26 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 7.83 LDR mV | 2.36 lx | 995.91 hPa | 22.24 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 3.92 LDR mV | 1.67 lx | 995.95 hPa | 22.23 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 995ms, 997ms -> 996ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.91 hPa | 22.22 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.92 hPa | 22.20 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.94 hPa | 22.18 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.87 hPa | 22.17 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.94 hPa | 22.15 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1001ms, 7.83 LDR mV | 2.36 lx | 995.89 hPa | 22.14 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.96 hPa | 22.12 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 998ms, 1000ms -> 1001ms, 7.83 LDR mV | 2.36 lx | 995.98 hPa | 22.11 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.98 hPa | 22.09 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.91 hPa | 22.09 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.93 hPa | 22.07 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 996.04 hPa | 22.05 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 996ms, 997ms -> 997ms, 1000ms -> 1001ms, 7.83 LDR mV | 2.36 lx | 995.93 hPa | 22.04 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.94 hPa | 22.01 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 7.83 LDR mV | 2.36 lx | 995.94 hPa | 22.00 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.93 hPa | 21.99 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.94 hPa | 21.97 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.90 hPa | 21.95 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.90 hPa | 21.93 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.89 hPa | 21.92 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 3.92 LDR mV | 1.67 lx | 995.95 hPa | 21.89 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 3.92 LDR mV | 1.67 lx | 995.88 hPa | 21.88 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 7.83 LDR mV | 2.36 lx | 995.88 hPa | 21.87 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 7.83 LDR mV | 2.36 lx | 995.86 hPa | 21.85 °C | 97.85 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.92 hPa | 21.84 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 7.83 LDR mV | 2.36 lx | 995.88 hPa | 21.82 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.91 hPa | 21.81 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 7.83 LDR mV | 2.36 lx | 995.93 hPa | 21.79 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.83 hPa | 21.78 °C | 96.77 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.97 hPa | 21.76 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.83 hPa | 21.74 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.91 hPa | 21.73 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.91 hPa | 21.72 °C | 95.70 RH % | 6.00 CO vout raw | 1710002.50 CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.90 hPa | 21.69 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.90 hPa | 21.68 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.91 hPa | 21.67 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.86 hPa | 21.67 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.92 hPa | 21.65 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.92 hPa | 21.63 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.94 hPa | 21.62 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.89 hPa | 21.61 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 7.83 LDR mV | 2.36 lx | 995.92 hPa | 21.60 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.91 hPa | 21.59 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.89 hPa | 21.59 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.91 hPa | 21.58 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.91 hPa | 21.57 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.85 hPa | 21.57 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.95 hPa | 21.55 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.87 hPa | 21.55 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.86 hPa | 21.54 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 7.83 LDR mV | 2.36 lx | 995.82 hPa | 21.52 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.87 hPa | 21.51 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
